13,23,24,25,42,47
3,10,33,36,38,39
14,16,26,31,34,40
8,18,28,32,41,48
5,9,16,17,22,32
5,6,7,15,25,28
17,24,28,31,41,45
6,9,19,23,25,37
2,6,9,22,31,46
2,14,19,27,31,40
5,8,11,19,44,45
1,12,20,27,36,39
2,11,15,20,34,48
6,9,25,39,42,47
6,11,25,33,34,35
7,9,14,17,32,33
1,5,6,16,28,30
4,7,25,26,40,47
8,9,16,18,41,48
8,19,29,33,35,49
7,16,19,33,48,49
2,27,35,44,45,49
17,20,22,31,34,46
1,9,24,35,42,43
4,7,9,13,35,36
7,8,28,30,36,44
2,6,14,33,38,45
2,7,17,31,32,45
2,8,16,27,40,44
5,11,12,15,41,48
20,22,37,39,43,49
7,12,18,32,46,47
11,18,21,33,36,42
6,16,24,26,29,47
6,26,31,35,47,48
1,17,31,42,46,49
6,16,20,23,26,49
1,6,10,16,33,39
5,8,17,18,31,40
1,2,7,23,26,40
2,18,21,33,45,46
30,31,33,34,35,39
3,28,34,40,44,45
1,21,22,24,38,44
1,5,31,37,42,49
4,15,16,22,25,34
2,7,16,18,32,43
4,16,18,30,31,35
15,17,21,30,36,46
5,7,16,27,30,33
5,7,11,38,41,48
12,31,36,39,44,45
6,9,31,32,33,43
4,21,23,30,46,47
5,22,25,37,41,42
9,12,22,30,42,46
11,20,24,29,42,49
2,3,13,33,37,43
2,10,11,13,23,32
5,6,16,30,35,47
3,23,24,34,43,49
3,12,17,30,38,46
9,10,18,33,34,43
20,25,29,37,39,41
2,3,11,17,19,25
15,22,26,32,45,49
1,2,13,22,26,41
4,18,19,26,30,46
1,8,21,34,36,41
13,19,24,30,40,47
16,23,25,28,36,37
9,14,21,43,44,45
7,23,24,31,40,42
2,3,9,13,18,22
19,21,28,31,33,34
14,20,24,43,46,48
2,30,32,36,40,47
1,8,15,27,31,44
11,13,24,25,26,49
5,17,28,40,41,47
4,16,19,30,36,44
9,12,15,27,38,44
4,32,34,35,37,46
10,13,30,36,43,48
2,13,14,28,44,49
8,11,12,20,42,46
12,18,22,23,29,38
1,7,8,22,33,47
1,4,6,16,18,36
10,18,19,27,45,49
2,4,24,31,38,43
1,14,23,40,43,49
4,20,23,33,45,47
6,14,22,23,39,46
2,17,28,29,33,44
3,19,27,31,39,46
4,12,28,32,37,40
4,9,15,28,36,47
7,15,27,35,37,47
4,30,32,43,44,49
6,9,10,38,44,48
1,2,5,19,37,47
8,14,37,38,45,46
4,22,25,28,42,43
2,11,34,35,45,48
9,28,33,34,42,49
12,13,19,32,45,47
9,18,27,29,41,45
6,11,23,27,29,43
10,20,24,39,47,48
12,24,26,34,37,41
18,21,27,34,41,45
19,27,31,43,47,48
11,13,25,32,40,41
24,30,31,32,35,43
7,15,26,27,35,41
8,11,13,37,46,48
6,11,16,34,41,48
7,13,26,28,34,45
15,30,36,37,42,48
19,20,28,33,37,44
10,13,31,36,38,44
7,9,19,27,35,38
5,17,38,41,42,48
1,10,18,27,36,47
14,21,22,29,38,41
12,14,16,27,29,30
1,3,20,24,43,44
3,16,19,28,32,34
3,12,16,26,37,43
13,21,34,39,40,47
9,18,23,24,30,31
7,15,19,20,28,38
27,30,37,38,41,48
6,10,35,39,42,46
22,24,28,38,41,44
1,5,9,22,40,42
8,19,27,32,47,49
5,14,30,31,35,48
13,18,19,24,30,33
2,10,22,27,30,47
8,14,28,31,33,49
18,26,31,43,48,49
3,6,9,12,22,37
24,26,38,39,40,46
5,16,17,24,31,48
5,7,21,35,36,44
5,21,29,36,40,49
8,10,11,19,40,48
7,12,16,32,37,45
5,6,7,16,26,48
6,12,16,18,41,48
4,33,35,39,43,48
2,12,14,16,19,48
2,3,5,20,34,42
4,18,28,37,41,49
3,8,16,25,32,35
2,9,16,19,35,48
5,10,28,29,41,46
1,2,3,27,28,31
5,16,40,41,45,46
7,16,18,26,46,47
1,3,8,20,29,48
9,20,24,43,45,49
1,11,14,28,42,48
5,25,30,41,44,45
10,13,16,20,29,43
13,14,20,24,26,46
6,7,21,30,38,47
4,20,25,26,28,29
3,5,24,29,44,48
20,26,33,35,38,41
